,address,delegation,refund_in_ujuno,refun_in_juno
232,juno1z2nxhgv4kl7ftc5a25rn6d7s8r5q3nykz6sy3h,1001,50,5e-05
233,juno1z2ct28f2gklf7nl94kwl7ykr90pwtu2n3lfghn,219164746,10958237,10.958237
234,juno1z2cha90zky395djgt7sx64fe7tauqjvr57ljrk,6060000,303000,0.303
235,juno1z2cerpsl7g52ytuvpma88gn0qxq7a4sktrld9g,1000000,50000,0.05
236,juno1zttk40w2k9vn0n9tvm6cpjlgxqznfaq4ns5e9v,111600000,5580000,5.58
237,juno1ztsamqdmc2jvj769ppv3ampjxg6evcqr68gzpt,494642080,24732104,24.732104
238,juno1zv3tckq563cnfhxpsm5qgdfcve0sk3lzw99gwv,173214594,8660729,8.660729
239,juno1zvcwfjj9hyx0rrzsz3kdj3rf63v2evy7yfpkmm,5000000,250000,0.25
240,juno1zd8dgv9cztnrsc6vuxmqusuzq46qedvr67flp2,75500000,3775000,3.775
241,juno1zdmqnee89z7z32ul50vk32zg2f4wnpv8x62g45,52055166,2602758,2.602758
242,juno1zdlq69c4fqxtr637qqkmj0lvp6ylh4y3u76jvf,10,0,0.0
243,juno1zw96qnrfuv6ltqlqsjqjuucq0znye6tqa2jwqn,339591679,16979583,16.979583
244,juno1zwnyejkw0463qfdnk07jukvzmjpys79y3lmwmp,9535873,476793,0.476793
245,juno1zw7g2877q4a7480ucqd3flj6mcls3v0rj63vnh,10000000,500000,0.5
246,juno1zw7gc3f9wdwkldf4mx3wl7kn8aur0s60gyq5gc,120100000,6005000,6.005
247,juno1z0pgyrafya3egv0cemn9cdjh03c0qtcjf0f6jy,20076847,1003842,1.003842
248,juno1z024vgu2v80dv0gg64aawnz8kynh3apu70qwr2,20294015,1014700,1.0147
249,juno1z02467whuuanakakxs9zpwgxtgftsu386cntsm,1474000,73700,0.0737
250,juno1z0wuq37e2akzxkx9achj0pzw09ur006lkv9q8c,1001,50,5e-05
251,juno1z0sz83uapd2sv2lhsu5uk440l63tz4sevv3ju0,114441,5722,0.005722
252,juno1z0c3qmngznuyhn7sh4mdec3fsfkcyyvggxlfpk,20000000,1000000,1.0
253,juno1z0e6feyuumc99nqaa2l5v2l809n3hy6897g4r8,15170,758,0.000758
254,juno1zszznjnt57hy8y7y3cq7d6ldspxmjmtlx96cj2,25000000,1250000,1.25
255,juno1zsx23g65237uvm8eexymgrt8nkg7gtqv3n9sm3,1484851,74242,0.074242
256,juno1zs8k656xzml49uzlx8nex2l8ur2lfs97vx0fny,10380000,519000,0.519
257,juno1zsg00he8dwej9aadwqgl926veg2x2xxkn9ykt9,5000000,250000,0.25
258,juno1zs2euqpz96v3tnfcpuf5p7xfwe4fez9qs475sk,1000000,50000,0.05
259,juno1zsv6cvpd9y86hhxzatpgzu6ymxdeuc5n2k73jc,24199000,1209950,1.20995
260,juno1zs04tjvc9alk9yqq3h27zczs75vp0n665v37ys,317944749,15897237,15.897237
261,juno1zsenfhekzuhszemmk5zmpa8n84dzeauucpauyp,100000,5000,0.005
262,juno1z3cracwmggk8n6jynf557nykkr0zr5gycr4psp,10099375,504968,0.504968
263,juno1zntp70jtwgc662rxcvqv73s9ckx4pkw8eanlhe,5300000,265000,0.265
264,juno1zn0ynweuqvv899z78jvwgyf8vtt2hs68kdlkdr,139209559,6960477,6.960477
265,juno1znm39zmctrgum55dyw6s75qt5z8h23j274mrg0,723476,36173,0.036173
266,juno1z5n99cvzxw9g833aehzxj7eppvm9w94paw2fez,108510000,5425500,5.4255
267,juno1z4sn4t3qkqt5lukv3pwxgrqdzjt23lwy3qnmtn,10606112,530305,0.530305
268,juno1z43ppukyqzcrrep70hspcjej7aexeu4wwuhn25,5750000,287500,0.2875
269,juno1zksh98qtllqr8cjqsezvmtzwmax8emf0vgd7xz,351,17,1.7e-05
270,juno1zka9w3l07kzhdk383q4thvjpfpsekyvxm5907n,303000000,15150000,15.15
271,juno1zhpc8ju6rv9lmfmv6g5yq4n7uy2xtfzkc8660l,1001,50,5e-05
272,juno1zh55n5vqxy5x452nmq200ver62yh3p8cwdgku7,700000000,35000000,35.0
273,juno1zczq8rxsusv5dayf2vg3mgh7kjd8cqs22crz60,50110603,2505530,2.50553
274,juno1zcz4rppaxyd9gd4wefwxpgjp5k8ktvejvjvrrw,8478131,423906,0.423906
275,juno1zc8c65pda8l38mhl8wnldydm9fq0s36matuxzc,940000,47000,0.047
276,juno1zc2eu903xhlve9ytph6alxj4qepwceaxtztunh,13664878,683243,0.683243
277,juno1zcvhekvd2nlk6vgyz0xfehxluucd4fzhmzl93k,10001,500,0.0005
278,juno1zewr57ml38d9vg3v5973j3tjr80r8mkewjlu2x,9035396,451769,0.451769
279,juno1zew9w04ujf7094jczx6dwulmcplgsq26735p34,400000,20000,0.02
